filename,label
T55.txt,2
T175.txt,12
T78.txt,18
T341.txt,2
T486.txt,22
T585.txt,29
T594.txt,21
T361.txt,9
T339.txt,20
T536.txt,5
T176.txt,21
T281.txt,7
T29.txt,12
T257.txt,1
T167.txt,8
T157.txt,3
T333.txt,25
T275.txt,20
T223.txt,13
T226.txt,2
T527.txt,3
T562.txt,19
T522.txt,2
T381.txt,29
T50.txt,0
T91.txt,16
T169.txt,28
T49.txt,10
T195.txt,27
T2.txt,22
T33.txt,3
T194.txt,16
T488.txt,6
T172.txt,9
T293.txt,17
T203.txt,10
T217.txt,6
T138.txt,2
T205.txt,26
T136.txt,10
T510.txt,25
T132.txt,16
T577.txt,17
T134.txt,17
T430.txt,22
T567.txt,26
T495.txt,21
T74.txt,6
T544.txt,27
T542.txt,18
T485.txt,15
T6.txt,7
T101.txt,4
T285.txt,26
T353.txt,24
T152.txt,23
T311.txt,0
T531.txt,20
T511.txt,0
T493.txt,11
T426.txt,18
T244.txt,26
T401.txt,20
T88.txt,21
T337.txt,11
T327.txt,8
T320.txt,6
T235.txt,25
T164.txt,8
T237.txt,16
T262.txt,16
T553.txt,20
T414.txt,26
T589.txt,3
T246.txt,21
T46.txt,3
T560.txt,25
T41.txt,3
T408.txt,3
T83.txt,4
T359.txt,15
T340.txt,13
T265.txt,15
T209.txt,1
T310.txt,28
T515.txt,25
T441.txt,12
T99.txt,10
T498.txt,24
T388.txt,17
T113.txt,16
T508.txt,14
T238.txt,29
T267.txt,11
T232.txt,22
T423.txt,24
T470.txt,23
T344.txt,2
T85.txt,8
T92.txt,5
T418.txt,0
T427.txt,16
T392.txt,7
T391.txt,14
T372.txt,18
T434.txt,27
T429.txt,17
T532.txt,18
T145.txt,26
T473.txt,2
T438.txt,21
T572.txt,14
T404.txt,18
T12.txt,9
T43.txt,12
T185.txt,16
T212.txt,28
T251.txt,25
T362.txt,7
T551.txt,8
T30.txt,0
T177.txt,13
T445.txt,11
T406.txt,6
T439.txt,5
T266.txt,17
T411.txt,0
T9.txt,0
T386.txt,19
T53.txt,24
T224.txt,23
T98.txt,6
T72.txt,28
T295.txt,15
T380.txt,19
T100.txt,4
T256.txt,28
T431.txt,5
T120.txt,25
T290.txt,0
T289.txt,24
T541.txt,21
T555.txt,6
T236.txt,22
T119.txt,21
T239.txt,26
T330.txt,27
T574.txt,2
T304.txt,15
T106.txt,5
T287.txt,6
T230.txt,20
T121.txt,16
T538.txt,5
T252.txt,7
T321.txt,19
T355.txt,13
T240.txt,22
T206.txt,25
T352.txt,3
T280.txt,14
T0.txt,25
T115.txt,13
T543.txt,23
T312.txt,14
T535.txt,26
T271.txt,22
T151.txt,23
T507.txt,11
T595.txt,9
T458.txt,28
T389.txt,28
T305.txt,10
T292.txt,17
T435.txt,22
T301.txt,15
T300.txt,5
T89.txt,29
T350.txt,25
T499.txt,23
T354.txt,10
T200.txt,1
T254.txt,21
T204.txt,17
T258.txt,19
T570.txt,7
T141.txt,1
T587.txt,28
T202.txt,16
T211.txt,23
T331.txt,10
T537.txt,17
T457.txt,2
T382.txt,21
T140.txt,1
T117.txt,15
T22.txt,29
T213.txt,20
T583.txt,22
T309.txt,10
T104.txt,24
T342.txt,18
T299.txt,12
T94.txt,6
T277.txt,6
T539.txt,2
T114.txt,22
T336.txt,5
T523.txt,26
T291.txt,24
T421.txt,9
T93.txt,11
T4.txt,13
T415.txt,8
T383.txt,25
T390.txt,14
T504.txt,11
T264.txt,26
T370.txt,2
T407.txt,23
T82.txt,13
T351.txt,24
T77.txt,14
T32.txt,20
T369.txt,12
T111.txt,24
T273.txt,22
T530.txt,12
T279.txt,2
T472.txt,8
